round,loss,accuracy
0,2.1983533824718764,0.04721448467966574
1,2.2606461430658538,0.04721448467966574
2,2.0166836690105767,0.2564066852367688
3,0.45917273262479347,0.8569637883008356
4,0.45138547047038763,0.8580779944289694
5,0.30541469658501863,0.9162952646239554
6,0.4295863467509259,0.883008356545961
7,0.3356942567083541,0.9306406685236769
8,0.4025309828248992,0.9096100278551532
9,0.4171301748143677,0.9096100278551532
10,0.34162135215702827,0.9338440111420613
11,0.3355024838466881,0.9363509749303621
12,0.35691636907524354,0.9263231197771588
13,0.4083862362010291,0.910724233983287
14,0.4980373063962323,0.9144846796657382
15,0.3638672141911067,0.9383008356545961
16,0.43647083807065384,0.9296657381615598
17,0.5733671051356845,0.936908077994429
18,0.46680675358767687,0.9162952646239554
19,0.4081978557035839,0.9352367688022284
20,0.30601125683570296,0.9362116991643454
21,0.3950950687573308,0.9218662952646239
22,0.32719364302270315,0.938857938718663
