round,loss,accuracy
0,2.1979192462804256,0.14415041782729804
1,2.417989883515828,0.04721448467966574
2,2.2020147724071917,0.16518105849582174
3,1.0049286101687918,0.6341225626740947
4,0.690183590577713,0.7714484679665738
5,0.42842143127658405,0.8752089136490251
6,0.44173245923917914,0.8655988857938719
7,0.36197747454257334,0.895125348189415
8,0.3443998422408814,0.8987465181058496
9,0.38979270052745896,0.8884401114206129
10,0.41667417933396517,0.8846796657381616
11,0.2850908202975262,0.9318941504178273
12,0.35535013331995347,0.9075208913649025
13,0.30097232940762425,0.918941504178273
14,0.29468023934056864,0.9310584958217271
15,0.32802211667014114,0.9186629526462395
16,0.3377320511665774,0.9144846796657382
17,0.27668011959380806,0.9378830083565459
18,0.26498585852066675,0.9409470752089136
19,0.31384697519611426,0.9293871866295265
20,0.31362883402532404,0.9335654596100279
21,0.27624097692995514,0.934958217270195
22,0.30683245495841177,0.9256267409470752
