round,loss,accuracy
0,2.1963387254220863,0.1032033426183844
1,2.293175824505373,0.17172701949860725
2,2.2586936884935853,0.05821727019498607
3,1.6526270248099622,0.4381615598885794
4,1.002949702108803,0.6149025069637883
5,0.6793977447622002,0.7859331476323119
6,0.8380890492277225,0.771309192200557
7,0.44573809019702393,0.8605849582172702
8,0.43233347325832233,0.8636490250696379
9,0.5105629367426993,0.8455431754874652
10,0.336605981352394,0.8979108635097494
11,0.36772135267122374,0.8947075208913648
12,0.5358030716886012,0.8387186629526462
13,0.44176803505447665,0.852924791086351
14,0.31392833644985985,0.9158774373259053
15,0.3587113589608736,0.8934540389972145
16,0.37006025728004305,0.884958217270195
17,0.3097644709157018,0.9157381615598886
18,0.3704583012755742,0.883008356545961
19,0.3954786256160639,0.8732590529247911
20,0.31174168604060304,0.9093314763231197
21,0.3302505735209352,0.8927576601671309
22,0.3154394004506923,0.9004178272980501
